CookerStat, GenerateAssetRegistry=0.016641, Initialize=0.086784, RunGuid=RunID5E3D3BCD46C8348316F4FD9A1CED964A
SavePackageTransactionId88D54A234ED7DD348E4964ADDC0C2160_11, Filename=../../../../../../Users/Josh/Desktop/ProjectWally/ProjectWallE/Content/TutorialProject/Sprites/Characters/Megaman_Sprite_6.uasset, AutoPackageBackupDelegate=19.377184, FlushAsyncLoading=0.003841, FlushStreamingFunc=0.081662, BlockTillAllRequestsFinished=0.002559, ResetLoadersForSaveUnMarkAllObjects=0.103936, TagPackageExports=0.011522, BeginCacheForCookedPlatformData=0.000767, SerializeImports=0.316158, GatherLocalizableTextData=0.120834, MarkNames=0.003327, SerializeSummary=0.006400, SerializeNames=0.056066, SerializeGatherableTextData=0.000767, BuildExportMap=0.008706, SortExportsNonSeekfree=0.002816, SortExportsSeekfreeConstructor=0.004862, SortExportsSeekfreeInner=0.316162, SortExportsSeekfree=0.001535, BuildDependencyMap=0.003841, SerializeImportMap=0.003841, SerializeExportMap=0.003584, SerializeDependencyMap=0.000767, SerializeStringAssetReferenceMap=0.001281, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.030470, SerializeExports=0.236802, SerializeBulkData=0.003070, MoveFile=1.000449, UnaccountedTime=0.731394, RunGuid=RunID5E3D3BCD46C8348316F4FD9A1CED964A
SavePackageTransactionId88D54A234ED7DD348E4964ADDC0C2160_12, Filename=../../../../../../Users/Josh/Desktop/ProjectWally/ProjectWallE/Content/TutorialProject/Sprites/Characters/Megaman_Sprite_7.uasset, AutoPackageBackupDelegate=19.508507, FlushAsyncLoading=0.004355, FlushStreamingFunc=0.080381, BlockTillAllRequestsFinished=0.002816, ResetLoadersForSaveUnMarkAllObjects=0.108801, TagPackageExports=0.011776, BeginCacheForCookedPlatformData=0.000767, SerializeImports=0.348419, GatherLocalizableTextData=0.121087, MarkNames=0.003584, SerializeSummary=0.006143, SerializeNames=0.041474, SerializeGatherableTextData=0.001024, BuildExportMap=0.008959, SortExportsNonSeekfree=0.003073, SortExportsSeekfreeConstructor=0.004608, SortExportsSeekfreeInner=0.349697, SortExportsSeekfree=0.001535, BuildDependencyMap=0.003841, SerializeImportMap=0.003584, SerializeExportMap=0.003330, SerializeDependencyMap=0.000767, SerializeStringAssetReferenceMap=0.001024, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.074245, SerializeExports=0.216834, SerializeBulkData=0.003327, MoveFile=1.069311, UnaccountedTime=0.677377, RunGuid=RunID5E3D3BCD46C8348316F4FD9A1CED964A
SavePackageTransactionId88D54A234ED7DD348E4964ADDC0C2160_13, Filename=../../../../../../Users/Josh/Desktop/ProjectWally/ProjectWallE/Content/TutorialProject/Sprites/Characters/Megaman_Sprite_8.uasset, AutoPackageBackupDelegate=19.794460, FlushAsyncLoading=0.005379, FlushStreamingFunc=0.059903, BlockTillAllRequestsFinished=0.004351, ResetLoadersForSaveUnMarkAllObjects=0.118017, TagPackageExports=0.020739, BeginCacheForCookedPlatformData=0.000767, SerializeImports=0.418048, GatherLocalizableTextData=0.121087, MarkNames=0.003584, SerializeSummary=0.006657, SerializeNames=0.051711, SerializeGatherableTextData=0.001024, BuildExportMap=0.017922, SortExportsNonSeekfree=0.003327, SortExportsSeekfreeConstructor=0.014849, SortExportsSeekfreeInner=0.364289, SortExportsSeekfree=0.001535, BuildDependencyMap=0.003841, SerializeImportMap=0.003584, SerializeExportMap=0.003327, SerializeDependencyMap=0.001021, SerializeStringAssetReferenceMap=0.001024, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.776263, SerializeExports=0.174593, SerializeBulkData=0.002559, MoveFile=0.866052, UnaccountedTime=0.764672, RunGuid=RunID5E3D3BCD46C8348316F4FD9A1CED964A
SavePackageTransactionId88D54A234ED7DD348E4964ADDC0C2160_14, Filename=../../../../../../Users/Josh/Desktop/ProjectWally/ProjectWallE/Content/TutorialProject/Sprites/Characters/Megaman_Sprite_9.uasset, AutoPackageBackupDelegate=19.866400, FlushAsyncLoading=0.004862, FlushStreamingFunc=0.079360, BlockTillAllRequestsFinished=0.004355, ResetLoadersForSaveUnMarkAllObjects=0.111103, TagPackageExports=0.088062, BeginCacheForCookedPlatformData=0.001024, SerializeImports=0.413954, GatherLocalizableTextData=0.121087, MarkNames=0.003327, SerializeSummary=0.006657, SerializeNames=0.031233, SerializeGatherableTextData=0.000767, BuildExportMap=0.008449, SortExportsNonSeekfree=0.002816, SortExportsSeekfreeConstructor=0.004862, SortExportsSeekfreeInner=0.346370, SortExportsSeekfree=0.001792, BuildDependencyMap=0.003841, SerializeImportMap=0.003584, SerializeExportMap=0.003584, SerializeDependencyMap=0.000767, SerializeStringAssetReferenceMap=0.001024, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.979270, SerializeExports=0.203520, SerializeBulkData=0.013057, MoveFile=0.998404, UnaccountedTime=0.777986, RunGuid=RunID5E3D3BCD46C8348316F4FD9A1CED964A
SavePackageTransactionId88D54A234ED7DD348E4964ADDC0C2160_15, Filename=../../../../../../Users/Josh/Desktop/ProjectWally/ProjectWallE/Content/TutorialProject/Sprites/Characters/Megaman_Sprite_10.uasset, AutoPackageBackupDelegate=19.952415, FlushAsyncLoading=0.013568, FlushStreamingFunc=0.070654, BlockTillAllRequestsFinished=0.003841, ResetLoadersForSaveUnMarkAllObjects=0.129282, TagPackageExports=0.011776, BeginCacheForCookedPlatformData=0.000767, SerializeImports=0.364799, GatherLocalizableTextData=0.141315, MarkNames=0.003327, SerializeSummary=0.006400, SerializeNames=0.030976, SerializeGatherableTextData=0.000767, BuildExportMap=0.018176, SortExportsNonSeekfree=0.003073, SortExportsSeekfreeConstructor=0.005119, SortExportsSeekfreeInner=0.410371, SortExportsSeekfree=0.001792, BuildDependencyMap=0.003584, SerializeImportMap=0.003584, SerializeExportMap=0.003070, SerializeDependencyMap=0.000767, SerializeStringAssetReferenceMap=0.001024, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.595524, SerializeExports=0.193283, SerializeBulkData=0.002816, MoveFile=0.925444, UnaccountedTime=0.751361, RunGuid=RunID5E3D3BCD46C8348316F4FD9A1CED964A
SavePackageTransactionId88D54A234ED7DD348E4964ADDC0C2160_16, Filename=../../../../../../Users/Josh/Desktop/ProjectWally/ProjectWallE/Content/TutorialProject/Sprites/Characters/Megaman_Sprite_11.uasset, AutoPackageBackupDelegate=20.134430, FlushAsyncLoading=0.004098, FlushStreamingFunc=0.064768, BlockTillAllRequestsFinished=0.004351, ResetLoadersForSaveUnMarkAllObjects=0.124928, TagPackageExports=0.011776, BeginCacheForCookedPlatformData=0.000767, SerializeImports=0.340994, GatherLocalizableTextData=0.124414, MarkNames=0.003584, SerializeSummary=0.006914, SerializeNames=0.032257, SerializeGatherableTextData=0.000767, BuildExportMap=0.008959, SortExportsNonSeekfree=0.003073, SortExportsSeekfreeConstructor=0.005629, SortExportsSeekfreeInner=0.333060, SortExportsSeekfree=0.001792, BuildDependencyMap=0.003837, SerializeImportMap=0.003584, SerializeExportMap=0.003330, SerializeDependencyMap=0.001024, SerializeStringAssetReferenceMap=0.001024, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.852036, SerializeExports=0.196610, SerializeBulkData=0.015102, MoveFile=0.933375, UnaccountedTime=0.710402, RunGuid=RunID5E3D3BCD46C8348316F4FD9A1CED964A
SavePackageTransactionId88D54A234ED7DD348E4964ADDC0C2160_17, Filename=../../../../../../Users/Josh/Desktop/ProjectWally/ProjectWallE/Content/TutorialProject/Sprites/Characters/Megaman_Sprite_12.uasset, AutoPackageBackupDelegate=19.570719, FlushAsyncLoading=0.004351, FlushStreamingFunc=0.078849, BlockTillAllRequestsFinished=0.004094, ResetLoadersForSaveUnMarkAllObjects=0.105217, TagPackageExports=0.011776, BeginCacheForCookedPlatformData=0.000514, SerializeImports=0.403710, GatherLocalizableTextData=0.151552, MarkNames=0.003330, SerializeSummary=0.016894, SerializeNames=0.043523, SerializeGatherableTextData=0.000767, BuildExportMap=0.008959, SortExportsNonSeekfree=0.003073, SortExportsSeekfreeConstructor=0.005119, SortExportsSeekfreeInner=0.334337, SortExportsSeekfree=0.001792, BuildDependencyMap=0.003584, SerializeImportMap=0.004351, SerializeExportMap=0.003073, SerializeDependencyMap=0.001024, SerializeStringAssetReferenceMap=0.001024, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.472841, SerializeExports=0.179455, SerializeBulkData=0.002816, MoveFile=0.876799, UnaccountedTime=0.708867, RunGuid=RunID5E3D3BCD46C8348316F4FD9A1CED964A
SavePackageTransactionId88D54A234ED7DD348E4964ADDC0C2160_18, Filename=../../../../../../Users/Josh/Desktop/ProjectWally/ProjectWallE/Content/TutorialProject/Sprites/Characters/Megaman_Sprite_13.uasset, AutoPackageBackupDelegate=20.398367, FlushAsyncLoading=0.004865, FlushStreamingFunc=0.028417, BlockTillAllRequestsFinished=0.002816, ResetLoadersForSaveUnMarkAllObjects=0.101376, TagPackageExports=0.012286, BeginCacheForCookedPlatformData=0.000767, SerializeImports=0.395522, GatherLocalizableTextData=0.121601, MarkNames=0.003327, SerializeSummary=0.006400, SerializeNames=0.031490, SerializeGatherableTextData=0.000767, BuildExportMap=0.008702, SortExportsNonSeekfree=0.002816, SortExportsSeekfreeConstructor=0.004865, SortExportsSeekfreeInner=0.343297, SortExportsSeekfree=0.001792, BuildDependencyMap=0.003841, SerializeImportMap=0.003841, SerializeExportMap=0.003073, SerializeDependencyMap=0.000767, SerializeStringAssetReferenceMap=0.001281, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.653830, SerializeExports=0.228610, SerializeBulkData=0.003070, MoveFile=0.979457, UnaccountedTime=0.785921, RunGuid=RunID5E3D3BCD46C8348316F4FD9A1CED964A
SavePackageTransactionId88D54A234ED7DD348E4964ADDC0C2160_19, Filename=../../../../../../Users/Josh/Desktop/ProjectWally/ProjectWallE/Content/TutorialProject/Sprites/Characters/Megaman_Sprite_14.uasset, AutoPackageBackupDelegate=19.753504, FlushAsyncLoading=0.004351, FlushStreamingFunc=0.079360, BlockTillAllRequestsFinished=0.002816, ResetLoadersForSaveUnMarkAllObjects=0.147458, TagPackageExports=0.012029, BeginCacheForCookedPlatformData=0.000771, SerializeImports=0.322048, GatherLocalizableTextData=0.168961, MarkNames=0.003327, SerializeSummary=0.006400, SerializeNames=0.030719, SerializeGatherableTextData=0.001024, BuildExportMap=0.008449, SortExportsNonSeekfree=0.002816, SortExportsSeekfreeConstructor=0.004351, SortExportsSeekfreeInner=0.317954, SortExportsSeekfree=0.001792, BuildDependencyMap=0.003584, SerializeImportMap=0.003841, SerializeExportMap=0.003327, SerializeDependencyMap=0.001024, SerializeStringAssetReferenceMap=0.001024, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.983621, SerializeExports=0.190977, SerializeBulkData=0.003073, MoveFile=1.001474, UnaccountedTime=0.677887, RunGuid=RunID5E3D3BCD46C8348316F4FD9A1CED964A
SavePackageTransactionId88D54A234ED7DD348E4964ADDC0C2160_20, Filename=../../../../../../Users/Josh/Desktop/ProjectWally/ProjectWallE/Content/TutorialProject/Sprites/Characters/Megaman_Sprite_15.uasset, AutoPackageBackupDelegate=19.852318, FlushAsyncLoading=0.004862, FlushStreamingFunc=0.082176, BlockTillAllRequestsFinished=0.002816, ResetLoadersForSaveUnMarkAllObjects=0.105985, TagPackageExports=0.011265, BeginCacheForCookedPlatformData=0.000767, SerializeImports=0.432640, GatherLocalizableTextData=0.121858, MarkNames=0.003070, SerializeSummary=0.006400, SerializeNames=0.030976, SerializeGatherableTextData=0.000771, BuildExportMap=0.008959, SortExportsNonSeekfree=0.002816, SortExportsSeekfreeConstructor=0.004351, SortExportsSeekfreeInner=0.317186, SortExportsSeekfree=0.001792, BuildDependencyMap=0.003584, SerializeImportMap=0.003584, SerializeExportMap=0.003330, SerializeDependencyMap=0.000771, SerializeStringAssetReferenceMap=0.001278, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.769863, SerializeExports=0.180990, SerializeBulkData=0.002816, MoveFile=0.922624, UnaccountedTime=0.651523, RunGuid=RunID5E3D3BCD46C8348316F4FD9A1CED964A
